hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,meal,country,is_repeated_guest,agent,company,days_in_waiting_list,reservation_status_date
City Hotel,0,51,2016,February,7,7,2,1,1,0,BB,FRA,0,NULL,NULL,0,2/10/2016
City Hotel,0,101,2016,June,24,6,1,2,1,0,BB,PRT,0,NULL,51,0,6/9/2016
City Hotel,0,32,2016,June,27,26,2,5,2,0,BB,ROU,0,9,NULL,0,7/3/2016
City Hotel,0,94,2017,March,11,17,1,2,2,0,BB,AUT,0,27,NULL,0,3/20/2017
Resort Hotel,0,197,2016,April,18,30,1,1,2,0,HB,DEU,0,298,NULL,0,5/2/2016
Resort Hotel,1,206,2016,October,44,27,2,5,2,0,BB,IRL,0,240,NULL,0,7/25/2016
Resort Hotel,1,109,2017,July,28,15,2,5,2,0,BB,FRA,0,240,NULL,0,4/1/2017
Resort Hotel,0,184,2016,September,36,3,4,6,2,0,BB,NULL,0,250,NULL,0,9/13/2016
Resort Hotel,0,241,2015,December,49,4,2,2,1,0,BB,PRT,1,240,NULL,0,12/8/2015
Resort Hotel,0,1,2015,November,45,4,0,1,1,0,BB,PRT,1,NULL,88,0,11/5/2015
Resort Hotel,0,8,2016,September,40,30,2,2,2,0,BB,PRT,0,240,NULL,0,10/4/2016
Resort Hotel,0,64,2016,October,44,25,0,4,2,0,BB,DEU,0,240,NULL,0,10/29/2016
Resort Hotel,0,241,2017,June,22,3,2,2,2,0,BB,IRL,0,240,NULL,0,6/7/2017
Resort Hotel,0,114,2017,June,24,11,2,4,2,0,BB,CN,0,5,NULL,0,6/17/2017
Resort Hotel,0,1,2017,July,28,13,0,3,2,0,HB,BEL,0,240,NULL,0,7/16/2017
Resort Hotel,0,75,2017,August,34,22,0,2,1,1,BB,GBR,0,241,NULL,0,8/24/2017
City Hotel,0,138,2015,August,34,22,2,1,2,0,HB,ITA,0,17,NULL,0,8/25/2015
City Hotel,1,27,2015,September,39,23,0,1,3,0,BB,PRT,0,13,NULL,0,8/31/2015
City Hotel,1,104,2015,December,49,3,0,3,2,0,BB,PRT,0,55,NULL,0,9/7/2015
City Hotel,0,118,2015,December,50,11,1,2,3,0,BB,POL,0,9,NULL,0,12/14/2015
City Hotel,1,74,2016,April,15,6,0,3,3,0,BB,ITA,0,9,NULL,0,3/10/2016
City Hotel,1,133,2016,July,28,6,0,4,2,0,BB,DEU,0,9,NULL,0,6/22/2016
City Hotel,1,166,2016,August,35,27,2,1,2,0,BB,ITA,0,9,NULL,0,4/21/2016
City Hotel,1,34,2017,January,3,18,0,1,2,0,BB,PRT,0,19,NULL,0,12/15/2016
City Hotel,1,313,2017,April,17,29,2,1,2,0,BB,PRT,0,6,NULL,0,2/23/2017
City Hotel,1,171,2017,May,19,11,0,3,1,0,BB,BRA,0,9,NULL,0,11/21/2016
City Hotel,1,368,2017,June,26,28,0,3,2,0,BB,PRT,0,229,NULL,0,6/6/2017
City Hotel,1,180,2017,July,28,14,2,3,2,0,BB,BEL,0,9,NULL,0,1/29/2017
City Hotel,0,273,2015,July,29,17,0,2,2,0,HB,PRT,0,6,NULL,0,7/19/2015
City Hotel,0,71,2016,May,20,10,0,3,2,0,HB,DEU,0,205,NULL,0,5/13/2016
City Hotel,0,0,2016,December,52,21,0,0,0,0,BB,PRT,1,94,NULL,0,12/21/2016
City Hotel,0,8,2016,May,22,25,0,1,2,0,SC,TUR,0,9,NULL,0,5/26/2016
City Hotel,0,53,2016,June,24,9,0,3,3,0,BB,FRA,0,9,NULL,0,6/12/2016
City Hotel,0,137,2016,June,24,10,1,2,2,0,BB,PRT,0,NULL,NULL,0,6/13/2016
City Hotel,0,100,2016,July,28,4,1,0,2,0,SC,USA,0,9,NULL,0,7/5/2016
City Hotel,0,165,2016,July,30,17,1,0,2,0,SC,AUS,0,9,NULL,0,7/18/2016
City Hotel,0,292,2016,July,30,21,0,2,2,0,HB,DEU,0,6,NULL,0,7/23/2016
City Hotel,0,4,2016,August,32,1,1,1,1,0,BB,PRT,0,NULL,221,0,8/3/2016
City Hotel,0,1,2016,August,33,10,0,2,2,0,SC,DEU,0,9,NULL,0,8/12/2016
City Hotel,0,7,2016,October,41,7,1,2,2,0,BB,GBR,0,9,NULL,0,10/10/2016
City Hotel,0,128,2017,May,18,6,2,1,2,0,BB,DEU,0,9,NULL,0,5/9/2017
City Hotel,0,87,2017,August,32,10,0,1,2,0,SC,ESP,0,9,NULL,0,8/11/2017
Resort Hotel,0,45,2015,December,49,5,2,1,2,0,Undefined,ESP,0,38,NULL,0,12/8/2015
Resort Hotel,1,77,2016,August,35,22,1,2,2,0,BB,ESP,0,240,NULL,0,7/13/2016
Resort Hotel,1,53,2016,October,45,31,2,5,3,1,BB,IRL,0,240,NULL,0,9/24/2016
Resort Hotel,1,46,2017,February,8,24,1,2,2,1,BB,FRA,0,250,NULL,0,1/16/2017
Resort Hotel,1,30,2017,April,15,9,2,5,2,0,BB,PRT,0,11,NULL,0,3/17/2017
Resort Hotel,1,358,2017,July,30,29,4,6,2,2,HB,GBR,0,240,NULL,0,11/24/2016
Resort Hotel,1,244,2015,September,36,2,2,5,2,0,BB,IRL,0,96,NULL,0,6/17/2015
Resort Hotel,0,129,2016,March,13,24,2,5,2,2,BB,IRL,0,242,NULL,0,3/31/2016
Resort Hotel,0,122,2016,July,29,15,2,4,2,0,HB,POL,0,315,NULL,0,7/21/2016
Resort Hotel,0,1,2016,September,38,16,0,1,1,0,BB,PRT,0,NULL,94,0,9/17/2016
Resort Hotel,0,17,2016,November,45,5,0,1,2,0,BB,PRT,0,250,NULL,0,11/6/2016
Resort Hotel,0,203,2017,May,21,25,2,5,2,0,BB,GBR,0,NULL,223,0,6/1/2017
Resort Hotel,0,177,2017,July,30,25,0,5,2,0,BB,GBR,0,250,NULL,0,7/30/2017
City Hotel,0,60,2015,September,39,21,1,1,2,0,BB,PRT,0,20,NULL,0,9/23/2015
City Hotel,1,98,2015,November,48,23,1,2,1,0,FB,PRT,0,37,NULL,0,9/14/2015
City Hotel,1,99,2016,March,12,15,0,4,2,0,BB,BEL,0,9,NULL,0,12/19/2015
City Hotel,1,50,2016,March,14,31,1,3,2,0,BB,PRT,0,1,NULL,0,3/11/2016
City Hotel,1,67,2017,February,7,12,2,0,2,0,BB,PRT,0,3,NULL,0,12/7/2016
City Hotel,1,111,2017,April,17,27,1,3,2,0,BB,PRT,0,31,NULL,0,1/6/2017
City Hotel,1,142,2017,June,26,28,0,1,2,0,BB,PRT,0,3,NULL,0,2/6/2017
City Hotel,1,215,2017,June,26,28,0,4,2,0,BB,PRT,0,NULL,NULL,0,11/25/2016
City Hotel,1,307,2015,August,34,20,0,2,2,0,BB,PRT,1,1,NULL,0,10/17/2014
City Hotel,0,6,2015,August,33,12,0,1,1,0,BB,PRT,0,NULL,40,0,8/13/2015
City Hotel,0,87,2016,April,15,4,1,2,2,0,SC,ESP,0,9,NULL,0,4/7/2016
City Hotel,0,56,2016,June,26,22,0,2,2,0,BB,PRT,0,14,NULL,0,6/24/2016
City Hotel,0,62,2016,July,30,23,1,1,2,1,HB,DEU,0,9,NULL,0,7/25/2016
City Hotel,0,2,2016,December,52,18,2,0,2,0,BB,ITA,0,9,NULL,0,12/20/2016
City Hotel,0,0,2017,March,10,5,1,0,1,0,SC,AUS,0,9,NULL,0,3/6/2017
City Hotel,0,75,2017,May,20,20,2,1,2,0,BB,GBR,0,229,NULL,0,5/23/2017
City Hotel,0,220,2017,July,26,1,2,2,2,2,BB,BEL,0,14,NULL,0,7/5/2017
Resort Hotel,0,48,2015,July,27,1,2,5,2,0,BB,IRL,0,8,NULL,0,7/8/2015
Resort Hotel,0,8,2016,October,43,21,0,2,2,0,HB,PRT,0,250,NULL,0,10/23/2016
Resort Hotel,1,11,2017,January,1,6,0,2,2,0,HB,PRT,0,177,NULL,0,12/26/2016
Resort Hotel,0,81,2015,September,37,6,2,3,3,0,BB,IRL,0,NULL,NULL,0,9/11/2015
Resort Hotel,1,92,2016,February,9,26,1,2,2,0,Undefined,PRT,0,134,NULL,0,12/10/2015
Resort Hotel,0,169,2016,March,14,31,1,3,2,0,BB,NLD,0,NULL,223,0,4/4/2016
Resort Hotel,0,20,2016,April,16,11,1,4,1,1,BB,PRT,0,314,NULL,0,4/16/2016
Resort Hotel,0,69,2017,February,8,21,2,5,2,0,BB,GBR,0,NULL,405,0,2/28/2017
City Hotel,0,80,2016,March,11,8,0,4,2,0,BB,DEU,0,9,NULL,0,3/12/2016
City Hotel,1,136,2016,April,17,20,2,9,2,0,BB,BRA,0,9,NULL,0,1/1/2016
City Hotel,1,302,2016,May,19,5,0,2,2,0,BB,PRT,0,1,NULL,0,10/21/2015
City Hotel,1,93,2016,July,30,18,1,0,2,1,BB,CHN,0,9,NULL,0,4/28/2016
City Hotel,1,17,2017,February,9,26,2,1,1,0,BB,PRT,0,30,NULL,0,2/9/2017
City Hotel,1,178,2017,June,23,9,0,2,2,0,BB,PRT,0,86,NULL,0,12/13/2016
City Hotel,1,213,2017,August,33,19,2,5,2,0,SC,ROU,0,9,NULL,0,1/19/2017
City Hotel,0,87,2016,October,44,23,2,1,2,0,BB,DEU,0,16,NULL,0,10/26/2016
City Hotel,0,51,2017,May,21,27,2,1,2,2,BB,BRA,0,9,NULL,0,5/30/2017
City Hotel,0,127,2017,May,22,28,2,2,3,0,BB,GBR,0,9,NULL,0,6/1/2017
City Hotel,0,23,2017,June,25,18,2,1,2,0,BB,GBR,0,9,NULL,0,6/21/2017
Resort Hotel,0,93,2015,December,52,26,2,3,2,0,BB,PRT,0,240,NULL,0,12/31/2015
Resort Hotel,0,14,2015,July,28,6,1,4,2,0,BB,NULL,0,175,NULL,0,7/11/2015
Resort Hotel,0,53,2015,November,45,1,2,2,2,0,HB,BEL,0,242,NULL,0,11/5/2015
Resort Hotel,0,13,2016,January,6,31,2,0,2,0,BB,PRT,0,240,NULL,0,2/2/2016
Resort Hotel,0,24,2016,February,8,14,2,4,2,0,BB,GBR,0,314,NULL,0,2/20/2016
Resort Hotel,0,0,2016,September,38,13,0,1,1,0,BB,GBR,0,NULL,223,0,9/14/2016
Resort Hotel,0,196,2016,December,53,30,1,2,2,0,Undefined,PRT,0,NULL,308,0,1/2/2017
Resort Hotel,0,0,2017,February,5,4,0,1,1,0,BB,PRT,0,NULL,NULL,0,2/5/2017
City Hotel,1,27,2015,July,31,27,1,1,2,0,BB,PRT,0,1,NULL,0,7/2/2015
City Hotel,1,95,2016,October,45,30,2,1,2,0,SC,BRA,0,9,NULL,0,10/6/2016
City Hotel,1,4,2017,February,8,22,1,4,2,2,BB,ISR,0,9,NULL,0,2/18/2017
City Hotel,1,279,2015,July,30,23,0,2,2,0,BB,PRT,1,1,NULL,0,10/17/2014
City Hotel,0,6,2016,January,4,22,0,2,2,0,BB,ESP,0,9,NULL,0,1/24/2016
City Hotel,0,41,2016,March,12,13,2,1,2,0,BB,POL,0,NULL,193,0,3/16/2016
City Hotel,0,44,2016,August,32,3,0,2,2,1,BB,DEU,0,9,NULL,0,8/5/2016
City Hotel,0,39,2016,September,38,16,1,2,2,2,BB,DNK,0,14,NULL,0,9/19/2016
City Hotel,0,19,2016,November,46,6,2,3,1,0,BB,DNK,0,7,NULL,0,11/11/2016
City Hotel,0,271,2016,December,49,3,2,1,2,0,BB,ESP,0,159,NULL,0,12/6/2016
City Hotel,0,12,2017,February,8,21,0,3,1,0,SC,DEU,0,10,NULL,0,2/24/2017
City Hotel,0,2,2017,February,8,24,0,1,1,1,BB,PRT,0,9,NULL,0,2/25/2017
City Hotel,0,35,2017,March,10,10,0,2,3,0,BB,GBR,0,22,NULL,0,3/12/2017
City Hotel,0,119,2017,June,26,30,0,1,2,0,SC,USA,0,9,NULL,0,7/1/2017
City Hotel,0,162,2017,June,26,28,0,4,2,0,BB,FRA,0,NULL,NULL,0,7/2/2017
City Hotel,0,158,2017,July,27,8,2,1,2,0,SC,GBR,0,9,NULL,0,7/11/2017
Resort Hotel,1,101,2015,August,33,10,2,5,2,0,HB,PRT,0,240,NULL,0,7/30/2015
Resort Hotel,0,65,2015,November,45,5,2,8,2,0,BB,GBR,0,314,NULL,0,11/15/2015
Resort Hotel,1,11,2016,December,53,30,1,2,2,0,HB,PRT,0,NULL,308,0,12/19/2016
Resort Hotel,1,10,2016,December,53,30,1,2,1,0,HB,PRT,0,NULL,308,0,12/22/2016
Resort Hotel,0,46,2016,March,11,11,0,1,1,0,BB,PRT,0,375,NULL,0,3/12/2016
Resort Hotel,0,25,2016,July,28,3,1,0,2,0,BB,USA,0,240,NULL,0,7/4/2016
Resort Hotel,0,204,2016,August,34,20,2,6,2,2,HB,PRT,0,196,NULL,0,8/28/2016
Resort Hotel,0,34,2016,August,36,31,2,5,2,0,HB,PRT,0,NULL,NULL,0,9/7/2016
Resort Hotel,0,133,2017,February,7,13,1,0,2,0,BB,NLD,0,240,NULL,0,2/14/2017
City Hotel,0,164,2015,October,40,2,0,1,2,0,BB,PRT,0,19,NULL,0,10/3/2015
City Hotel,0,49,2016,February,9,21,2,3,2,0,BB,DEU,0,14,NULL,0,2/26/2016
City Hotel,1,56,2016,June,26,21,0,2,2,0,BB,ITA,0,9,NULL,0,5/1/2016
City Hotel,1,208,2016,September,38,12,5,12,3,0,BB,BRA,0,9,NULL,0,7/2/2016
City Hotel,1,45,2017,January,1,4,0,2,2,0,BB,BRA,0,9,NULL,0,11/27/2016
City Hotel,1,155,2017,April,16,17,1,3,2,0,BB,ESP,0,9,NULL,0,4/7/2017
City Hotel,1,229,2017,July,28,12,1,4,2,0,BB,PRT,0,NULL,NULL,0,11/25/2016
City Hotel,1,179,2017,July,29,20,0,2,2,0,BB,AUS,0,9,NULL,0,3/22/2017
City Hotel,1,272,2015,July,29,16,0,2,2,0,BB,PRT,0,1,NULL,0,1/1/2015
City Hotel,0,0,2015,December,49,5,1,1,2,0,BB,PRT,0,7,NULL,0,12/7/2015
City Hotel,0,5,2015,December,50,8,0,3,2,0,BB,PRT,0,NULL,40,0,12/11/2015
City Hotel,0,3,2016,June,26,20,1,1,1,0,BB,PRT,1,NULL,40,0,6/22/2016
City Hotel,0,19,2016,February,7,9,0,1,1,0,BB,FRA,0,14,NULL,0,2/10/2016
City Hotel,0,0,2017,February,8,24,0,1,1,0,BB,PRT,1,94,NULL,0,2/25/2017
City Hotel,0,57,2016,October,42,15,2,3,0,2,BB,DEU,0,9,NULL,0,10/20/2016
City Hotel,0,1,2016,December,53,27,0,1,1,0,SC,ITA,0,152,NULL,0,12/28/2016
City Hotel,0,27,2017,January,2,12,0,3,2,0,BB,GBR,0,9,NULL,0,1/15/2017
City Hotel,0,25,2017,February,6,10,0,2,2,1,BB,FRA,0,28,NULL,0,2/12/2017
City Hotel,0,3,2017,March,13,30,0,2,1,0,BB,PRT,0,9,NULL,0,4/1/2017
City Hotel,0,1,2017,August,32,7,1,0,2,0,SC,PRT,0,14,NULL,0,8/8/2017
Resort Hotel,1,74,2016,February,9,26,1,2,2,0,Undefined,PRT,0,68,NULL,0,1/21/2016
Resort Hotel,1,44,2016,November,45,5,2,5,2,0,HB,GBR,0,240,NULL,0,9/23/2016
Resort Hotel,1,9,2017,March,13,30,0,2,1,0,BB,PRT,0,241,NULL,0,3/30/2017
Resort Hotel,0,87,2017,April,15,13,1,3,2,0,HB,NULL,0,240,NULL,0,4/17/2017
